rung,fold,lambda,lambda_label,inner_mean_log_loss,selected
D1,1,9.9999999999999995e-07,lam=1e-06,7.8269833242382862,False
D1,1,3.0000000000000001e-06,lam=3e-06,8.0635146223559921,False
D1,1,1.0000000000000001e-05,lam=1e-05,6.7622714701764775,False
D1,1,3.0000000000000001e-05,lam=3e-05,6.7619155590259235,False
D1,1,0.0001,lam=0.0001,8.0618022178355293,False
D1,1,0.00029999999999999997,lam=0.0003,6.2600799031582106,False
D1,1,0.001,lam=0.001,5.8991370343680085,False
D1,1,0.0030000000000000001,lam=0.003,5.3289055380268273,False
D1,1,0.01,lam=0.01,4.4113531085074431,False
D1,1,0.029999999999999999,lam=0.03,3.3776281041606522,False
D1,1,0.10000000000000001,lam=0.1,2.6356865317195175,False
D1,1,0.29999999999999999,lam=0.3,2.1139345309838387,False
D1,1,1,lam=1,1.6659817645049064,False
D1,1,3,lam=3,1.4497745851139832,False
D1,1,10,lam=10,1.3193316423936197,False
D1,1,30,lam=30,1.2083479277426432,False
D1,1,100,lam=100,1.1020460384603172,False
D1,1,300,lam=300,1.0457557461748519,False
D1,1,1000,lam=1000,1.0287807571926777,True
D1,1,3000,lam=3000,1.0401213956057112,False
D1,1,10000,lam=10000,1.0565296229665448,False
D1,2,9.9999999999999995e-07,lam=1e-06,2.6861524809675323,False
D1,2,3.0000000000000001e-06,lam=3e-06,2.644809236368503,False
D1,2,1.0000000000000001e-05,lam=1e-05,2.5925378097935403,False
D1,2,3.0000000000000001e-05,lam=3e-05,2.5442199626005126,False
D1,2,0.0001,lam=0.0001,2.4811291204593542,False
D1,2,0.00029999999999999997,lam=0.0003,2.4039362942822158,False
D1,2,0.001,lam=0.001,2.2980517135372294,False
D1,2,0.0030000000000000001,lam=0.003,2.2095857258039961,False
D1,2,0.01,lam=0.01,2.1098580494906596,False
D1,2,0.029999999999999999,lam=0.03,2.0137443421899741,False
D1,2,0.10000000000000001,lam=0.1,1.8925105189244518,False
D1,2,0.29999999999999999,lam=0.3,1.7609569155197922,False
D1,2,1,lam=1,1.5923113263724136,False
D1,2,3,lam=3,1.4360044886153471,False
D1,2,10,lam=10,1.2816375523619923,False
D1,2,30,lam=30,1.1544403589128422,False
D1,2,100,lam=100,1.0557439002579381,False
D1,2,300,lam=300,1.01442374495027,False
D1,2,1000,lam=1000,1.0038109764427652,True
D1,2,3000,lam=3000,1.0146866738525036,False
D1,2,10000,lam=10000,1.0352251252943261,False
D1,3,9.9999999999999995e-07,lam=1e-06,1.8904768794318394,False
D1,3,3.0000000000000001e-06,lam=3e-06,1.8476877714514499,False
D1,3,1.0000000000000001e-05,lam=1e-05,1.7954783024526726,False
D1,3,3.0000000000000001e-05,lam=3e-05,1.7433540088480701,False
D1,3,0.0001,lam=0.0001,1.671475655976866,False
D1,3,0.00029999999999999997,lam=0.0003,1.5683668518089717,False
D1,3,0.001,lam=0.001,1.458874610782706,False
D1,3,0.0030000000000000001,lam=0.003,1.3902166805032186,False
D1,3,0.01,lam=0.01,1.3360174085904171,False
D1,3,0.029999999999999999,lam=0.03,1.2981935233201114,False
D1,3,0.10000000000000001,lam=0.1,1.2547767209427259,False
D1,3,0.29999999999999999,lam=0.3,1.2097525651557985,False
D1,3,1,lam=1,1.1546305758371038,False
D1,3,3,lam=3,1.1009268398763812,False
D1,3,10,lam=10,1.0468973589240229,False
D1,3,30,lam=30,1.0100563403653524,False
D1,3,100,lam=100,0.98572898222959693,False
D1,3,300,lam=300,0.97677172958998915,True
D1,3,1000,lam=1000,0.97872855622866317,False
D1,3,3000,lam=3000,0.99247866631607173,False
D1,3,10000,lam=10000,1.0172195306477503,False
D1,4,9.9999999999999995e-07,lam=1e-06,1.1506633504946762,False
D1,4,3.0000000000000001e-06,lam=3e-06,1.1489915993069033,False
D1,4,1.0000000000000001e-05,lam=1e-05,1.1471667052353474,False
D1,4,3.0000000000000001e-05,lam=3e-05,1.1454984539232287,False
D1,4,0.0001,lam=0.0001,1.1436278534498301,False
D1,4,0.00029999999999999997,lam=0.0003,1.1417719628494132,False
